,city,latitude,longitude,max_temperature,cloudiness,wind_speed,humidity,country,date
358,Alugan,12.2188,125.4808,80.53,36,9.6,81,PH,1619326554
359,Husavik,66.0449,-17.3389,44.6,0,8.05,70,IS,1619326555
360,Zhezkazgan,47.8043,67.7144,52.0,62,4.45,30,KZ,1619326555
361,Vila Franca do Campo,37.7167,-25.4333,59.0,20,19.57,72,PT,1619326555
362,Sakaraha,-22.9,44.5333,71.33,0,3.89,67,MG,1619326556
363,Kisaran,2.9845,99.6158,90.61,72,1.54,53,ID,1619326556
364,Russell,32.3502,-85.1999,64.4,75,9.78,94,US,1619326557
365,Haines Junction,60.7522,-137.5108,48.2,45,3.44,34,CA,1619326557
366,Qaqortoq,60.7167,-46.0333,51.8,90,34.52,32,GL,1619326558
367,Kutum,14.2,24.6667,76.71,75,12.73,15,SD,1619326558
368,Kaputa,-8.4689,29.6619,67.21,73,0.98,90,ZM,1619326558
369,Katobu,-4.9408,122.5276,89.37,45,5.06,52,ID,1619326559
370,Trairi,-3.2778,-39.2689,75.45,72,5.7,92,BR,1619326559
371,Sung Noen,14.8992,101.8207,91.99,100,2.53,62,TH,1619326559
372,Yakeshi,49.2833,120.7333,56.57,74,2.35,22,CN,1619326560
373,Linjiang,41.8069,126.9078,62.76,0,8.28,15,CN,1619326560
374,Sayyan,15.1718,44.3244,64.63,18,5.1,32,YE,1619326561
375,Kankaanpää,61.8,22.4167,35.01,90,10.36,86,FI,1619326561
376,Muslyumovo,55.3033,53.1947,43.65,97,16.22,76,RU,1619326562
377,Lagoa,39.05,-27.9833,59.36,76,21.72,71,PT,1619326562
378,Coahuayana Viejo,18.7333,-103.6833,71.42,87,3.04,89,MX,1619326562
379,Longonjo,-12.9067,15.2533,59.97,100,2.73,78,AO,1619326563
380,Imbituva,-25.23,-50.6044,56.61,99,1.23,92,BR,1619326563
381,Zavyalovo,54.5053,82.4484,51.8,0,6.71,30,RU,1619326563
382,Vuktyl,63.8567,57.3094,45.28,100,13.85,71,RU,1619326564
383,El Tigre,8.8875,-64.2454,75.99,27,14.97,71,VE,1619326564
384,Mandalgovi,45.7625,106.2708,47.52,100,17.34,55,MN,1619326565
385,Kimbe,-5.5502,150.1429,85.1,60,5.39,71,PG,1619326565
386,Coihueco,-36.6167,-71.8333,50.0,0,3.44,81,CL,1619326565
387,Padang,-0.9492,100.3543,87.8,20,5.75,66,ID,1619326403
388,Bull Savanna,17.8868,-77.5902,72.86,29,7.52,84,JM,1619326566
389,Bac Lieu,9.285,105.7244,90.63,36,10.07,53,VN,1619326567
390,La Unión,-5.4,-80.75,71.08,96,12.91,70,PE,1619326545
391,Vizinga,61.0749,50.1031,41.27,100,10.56,92,RU,1619326567
392,Hamilton,39.1834,-84.5333,50.0,90,3.74,100,US,1619326539
393,Hobyo,5.3505,48.5268,85.35,31,8.01,61,SO,1619326568
394,Talnakh,69.4865,88.3972,15.35,99,13.02,83,RU,1619326568
395,George Town,5.4112,100.3354,89.6,40,2.3,70,MY,1619326548
396,Koumac,-20.5667,164.2833,77.97,97,8.63,80,NC,1619326569
397,Fes,34.0372,-4.9998,57.2,75,5.75,100,MA,1619326569
398,Kaitangata,-46.2817,169.8464,45.0,28,8.99,68,NZ,1619326570
399,Listvyanka,51.8535,104.8693,39.2,0,6.71,70,RU,1619326570
400,Vardø,70.3705,31.1107,35.19,100,22.66,72,NO,1619326571
401,Mitsamiouli,-11.3847,43.2844,81.77,100,5.35,71,KM,1619326571
402,Usinsk,65.9939,57.5281,43.43,100,8.32,75,RU,1619326572
403,Yako,12.9667,-2.2667,84.78,4,14.18,45,BF,1619326572
404,Ahipara,-35.1667,173.1667,61.88,76,7.92,65,NZ,1619326572
405,Natal,-5.795,-35.2094,75.2,20,4.61,94,BR,1619326573
406,Kaka,37.3482,59.6143,80.62,14,8.95,22,TM,1619326573
407,Lorengau,-2.0226,147.2712,82.72,34,3.51,75,PG,1619326573
408,Cabo San Lucas,22.8909,-109.9124,69.8,1,10.16,26,MX,1619326574
409,Napa,38.4832,-122.3344,54.0,100,3.89,44,US,1619326226
410,Ostrovnoy,68.0531,39.5131,34.95,100,7.0,99,RU,1619326574
411,Moussoro,13.6408,16.4901,80.44,50,8.66,49,TD,1619326574
412,Kunya,12.2233,8.5325,76.77,99,8.39,56,NG,1619326575
413,Rehoboth,-23.3167,17.0833,59.09,1,3.56,40,NA,1619326575
414,Wuwei,37.9281,102.6414,56.39,100,7.92,38,CN,1619326576
415,Kirovskiy,45.0917,133.5136,49.42,31,16.42,22,RU,1619326576
416,Harper,4.375,-7.7169,79.34,100,6.71,86,LR,1619326576
417,Nemuro,43.3236,145.575,41.0,75,12.66,60,JP,1619326577
418,Dzhebariki-Khaya,62.2167,135.8,29.25,100,1.63,79,RU,1619326577
419,Kemijärvi,66.7131,27.4306,30.92,100,14.16,83,FI,1619326578
420,Lethem,3.3803,-59.7968,74.08,100,11.32,92,GY,1619326578
421,Onguday,50.75,86.15,38.98,77,3.15,44,RU,1619326578
422,Yabrūd,33.9674,36.6574,64.4,0,9.22,52,SY,1619326579
423,Wanning,18.8003,110.3967,86.92,39,11.65,66,CN,1619326579
424,Rawson,-43.3002,-65.1023,54.88,0,10.98,64,AR,1619326532
425,Chengzhong,30.95,113.55,64.4,40,8.95,77,CN,1619326580
426,Noumea,-22.2763,166.4572,82.0,90,3.44,83,NC,1619326565
427,Iseyin,7.9667,3.6,74.64,100,7.65,94,NG,1619326544
428,Klamath Falls,42.2249,-121.7817,39.99,90,3.42,87,US,1619326581
429,Torres,-29.3353,-49.7269,67.44,95,2.28,87,BR,1619326581
430,Swindon,51.558,-1.7812,37.4,1,11.5,93,GB,1619326582
431,Ucluelet,48.9329,-125.5528,46.99,100,6.17,88,CA,1619326439
432,Hearst,49.6835,-83.6665,21.2,100,10.36,86,CA,1619326582
433,Oyama,36.3,139.8,73.99,75,9.22,37,JP,1619326583
434,Gobabis,-22.45,18.9667,57.34,3,8.9,32,NA,1619326583
435,Woodland,38.6785,-121.7733,57.2,20,11.5,67,US,1619326358
436,Iberia,29.9502,-91.7507,69.8,1,6.91,77,US,1619326583
437,Qinhuangdao,39.9317,119.5883,62.53,100,9.46,25,CN,1619326584
438,Puerto Quijarro,-17.7833,-57.7667,71.37,100,4.43,98,BO,1619326585
439,Makokou,0.5738,12.8642,66.16,95,0.51,96,GA,1619326585
440,Walvis Bay,-22.9575,14.5053,60.01,39,6.91,94,NA,1619326585
441,Bereda,43.2686,-7.5406,52.0,100,5.01,100,ES,1619326586
442,Aklavik,68.2191,-135.0107,33.8,33,8.05,69,CA,1619326586
443,Salinas,36.6777,-121.6555,55.4,1,8.05,71,US,1619326429
444,Dukat,62.55,155.55,12.63,100,6.6,78,RU,1619326587
445,Arlit,18.7369,7.3853,85.6,62,8.08,12,NE,1619326587
446,Manado,1.487,124.8455,91.4,20,8.05,58,ID,1619326587
447,Tete,-16.1564,33.5867,69.8,20,4.61,88,MZ,1619326588
448,Prado,-17.3411,-39.2208,73.6,0,5.95,89,BR,1619326588
449,Zemio,5.0314,25.1361,70.2,100,2.01,96,CF,1619326589
450,Te Anau,-45.4167,167.7167,44.15,18,5.88,72,NZ,1619326589
451,Zhangjiakou,40.81,114.8794,65.3,100,10.96,36,CN,1619326589
452,Oloron-Sainte-Marie,43.1944,-0.6107,59.0,90,1.14,72,FR,1619326590
453,Vicuña,-30.0319,-70.7081,53.6,0,5.75,82,CL,1619326590
454,Jiayuguan City,39.8167,98.3,60.26,34,39.8,17,CN,1619326591
455,Manaus,-3.1019,-60.025,80.6,0,3.44,83,BR,1619326182
456,San Quintín,30.4833,-115.95,57.47,4,12.39,88,MX,1619326592
457,Sampit,-2.5333,112.95,92.62,73,1.45,48,ID,1619326593
458,Katangli,51.7102,143.2326,35.22,67,12.21,62,RU,1619326593
459,Kāvali,14.9167,79.9833,93.06,89,11.34,47,IN,1619326593
460,Ilhabela,-23.7781,-45.3581,69.01,31,3.02,87,BR,1619326594
461,Uarini,-2.99,-65.1083,73.22,96,1.52,98,BR,1619326594
462,Jiaocheng,24.6774,116.1389,68.86,100,0.89,90,CN,1619326595
463,Sinnamary,5.3833,-52.95,77.81,100,10.2,86,GF,1619326595
464,Volnovakha,47.601,37.4967,50.0,20,5.12,100,UA,1619326596
465,Sept-Îles,50.2001,-66.3821,37.0,20,5.75,86,CA,1619326517
466,Mumbwa,-14.9783,27.0619,63.41,81,4.88,68,ZM,1619326596
467,Chokwé,-24.5333,32.9833,65.86,5,2.24,87,MZ,1619326597
468,Angoram,-4.0625,144.0661,77.52,100,1.25,94,PG,1619326597
469,Lalgudi,10.8667,78.8333,91.4,40,5.75,58,IN,1619326597
470,Sambava,-14.2667,50.1667,76.08,98,10.6,91,MG,1619326457
471,Yārāda,17.65,83.2667,93.2,20,6.91,55,IN,1619326598
472,Kloulklubed,7.0419,134.2556,89.6,75,17.27,66,PW,1619326598
473,Henties Bay,-22.116,14.2845,60.01,1,1.01,95,NA,1619326599
474,Kismayo,-0.3582,42.5454,84.07,77,8.81,70,SO,1619326599
475,Wangaratta,-36.3667,146.3333,66.99,0,11.5,42,AU,1619326600
476,Olafsvik,64.8945,-23.7142,41.58,100,14.92,95,IS,1619326600
477,Northam,51.0333,-4.2167,43.0,0,7.0,77,GB,1619326600
478,Villarrica,-25.75,-56.4333,63.84,100,1.97,98,PY,1619326601
479,Jalu,29.0331,21.5482,60.21,5,16.35,80,LY,1619326601
480,Khovd,48.0056,91.6419,34.65,94,1.43,20,MN,1619326601
481,Kenai,60.5544,-151.2583,53.6,1,4.61,35,US,1619326602
482,Domoni,-12.2569,44.5319,81.34,94,6.78,77,KM,1619326602
483,Kudahuvadhoo,2.6708,72.8944,83.44,13,7.72,67,MV,1619326603
484,Longyan,25.1072,117.0225,65.73,100,1.97,91,CN,1619326603
485,Hare Bay,48.8499,-54.0148,33.8,14,4.61,93,CA,1619326604
486,Beeville,28.4008,-97.7483,72.0,1,5.75,64,US,1619326604
487,Braço do Norte,-28.275,-49.1656,65.59,95,1.19,88,BR,1619326605
488,Havelock,34.8791,-76.9013,66.99,100,1.01,90,US,1619326560
489,Veranópolis,-28.9361,-51.5494,62.01,100,2.04,96,BR,1619326605
490,Sunrise Manor,36.2111,-115.0731,77.0,1,24.16,15,US,1619326606
491,Saint-François,46.4154,3.9054,45.0,0,2.3,93,FR,1619326606
492,Tautira,-17.7333,-149.15,77.0,75,4.61,83,PF,1619326607
493,Rocha,-34.4833,-54.3333,58.24,77,8.41,85,UY,1619326607
494,Cascais,38.6979,-9.4215,60.01,19,12.44,84,PT,1619326608
495,Sarangani,5.4033,125.4636,84.42,74,16.84,74,PH,1619326608
496,Alboraya,39.5,-0.35,55.99,20,5.75,88,ES,1619326609
497,Cody,44.5263,-109.0565,48.2,90,3.44,49,US,1619326344
498,Žamberk,50.086,16.4674,39.0,38,2.46,87,CZ,1619326609
499,Aden,12.7794,45.0367,82.87,6,16.62,79,YE,1619326606
500,Fenelon Falls,44.5334,-78.7496,48.2,72,2.3,76,CA,1619326610
501,Salalah,17.0151,54.0924,84.2,75,1.14,74,OM,1619326610
502,São Félix do Xingu,-6.6447,-51.995,71.85,95,0.45,98,BR,1619326371
503,College,64.8569,-147.8028,62.6,1,3.33,21,US,1619326327
504,Coyhaique,-45.5752,-72.0662,45.88,100,5.73,95,CL,1619326611
505,Mountain Home,43.133,-115.6912,50.0,40,2.21,57,US,1619326611
506,Kasempa,-13.4584,25.8338,61.09,82,4.68,88,ZM,1619326612
507,Srednekolymsk,67.45,153.6833,21.24,100,7.96,79,RU,1619326612
508,Anzio,41.4853,12.6179,52.0,0,4.59,87,IT,1619326612
509,Hanzhong,33.0728,107.0303,54.82,100,2.48,90,CN,1619326613
510,Guarapari,-20.6667,-40.4975,73.4,75,3.44,88,BR,1619326613
511,Banes,20.9625,-75.7186,75.2,1,9.22,94,CU,1619326613
512,Laas,46.6166,10.7002,46.0,0,3.44,81,IT,1619326614
513,Coronado,32.6859,-117.1831,59.0,75,6.91,77,US,1619326614
514,Hundorp,61.5552,9.9407,20.03,26,4.76,89,NO,1619326615
515,Mombetsu,44.3525,143.3525,33.8,75,8.05,93,JP,1619326615
516,Matamoros,25.5333,-103.25,67.66,21,0.96,9,MX,1619326411
517,Kormilovka,55.0026,74.1028,53.6,0,15.66,19,RU,1619326616
518,Lupiro,-8.3833,36.6667,71.17,100,2.73,97,TZ,1619326616
519,Honningsvåg,70.9821,25.9704,32.27,100,12.37,57,NO,1619326616
520,Bukene,-4.2333,32.8833,67.64,100,4.16,84,TZ,1619326617
521,Novo Aripuanã,-5.1206,-60.3797,73.76,33,1.05,97,BR,1619326617
522,Comodoro Rivadavia,-45.8667,-67.5,50.0,0,3.44,81,AR,1619326618
523,Bariloche,-41.1456,-71.3082,46.99,0,3.44,81,AR,1619326535
524,Champasak,14.75,106.0,93.2,40,4.61,55,LA,1619326618
525,Ziro,27.6333,93.8333,91.4,20,9.22,43,IN,1619326619
526,Taylorville,39.5489,-89.2945,51.01,67,1.01,87,US,1619326487
527,Turukhansk,65.8167,87.9833,32.74,98,11.16,98,RU,1619326619
528,Quatre Cocos,-20.2078,57.7625,80.01,75,13.8,83,MU,1619326620
529,Yeppoon,-23.1333,150.7333,82.4,51,9.22,36,AU,1619326620
530,Saint Stephen,50.3333,-4.9,46.4,4,6.91,61,GB,1619326620
531,Samarai,-10.6167,150.6667,84.34,40,16.4,73,PG,1619326621
532,Tynda,55.1667,124.7167,44.26,100,6.44,54,RU,1619326621
533,Newport,51.5877,-2.9984,42.01,6,14.97,83,GB,1619326622
534,Pacific Grove,36.6177,-121.9166,54.0,100,2.1,87,US,1619326425
535,Ruteng,-8.6136,120.4721,72.34,36,0.4,70,ID,1619326623
536,Mahébourg,-20.4081,57.7,77.0,75,13.8,83,MU,1619326623
537,São Lourenço da Mata,-8.0022,-35.0183,73.4,40,2.3,88,BR,1619326624
538,Kindu,-2.95,25.95,69.8,100,1.25,99,CD,1619326624
539,Fernley,39.608,-119.2518,54.0,97,5.99,30,US,1619326502
540,Verkhnyaya Inta,65.9811,60.3094,45.81,100,17.67,65,RU,1619326550
541,Taltal,-25.4,-70.4833,61.88,1,3.6,81,CL,1619326625
542,Tura,25.5198,90.2201,96.24,1,6.44,17,IN,1619326625
543,Aksu,41.1231,80.2644,63.97,80,5.03,21,CN,1619326625
544,Bandarbeyla,9.4942,50.8122,84.36,43,7.7,68,SO,1619326626
545,Salym,60.0625,71.4789,48.27,100,5.61,50,RU,1619326626
546,Port Macquarie,-31.4333,152.9167,72.0,2,1.99,62,AU,1619326627
547,Kushiro,42.975,144.3747,41.0,75,10.36,65,JP,1619326627
548,Takāb,36.4009,47.1133,63.37,24,2.95,15,IR,1619326448
549,Obama,35.4958,135.746,68.0,33,5.01,41,JP,1619326628
550,Avera,33.194,-82.5271,63.0,90,6.91,98,US,1619326628
551,Villazón,-22.0866,-65.5942,39.38,23,5.79,80,BO,1619326629
552,Mankono,8.0586,-6.1897,72.86,97,4.79,92,CI,1619326629
553,Naze,28.3667,129.4833,77.0,75,19.57,57,JP,1619326629
554,Nioro,13.35,-15.75,72.28,9,7.76,44,GM,1619326630
555,Petropavlovsk-Kamchatskiy,53.0452,158.6483,41.0,75,2.24,70,RU,1619326630
556,Dalmatovo,56.26,62.9362,50.72,96,10.02,44,RU,1619326630
557,Östersund,63.1792,14.6357,28.99,90,11.5,74,SE,1619326631
558,Springdale,36.1867,-94.1288,50.0,1,2.21,87,US,1619326631
559,Kamaishi,39.2667,141.8833,57.2,40,11.5,54,JP,1619326632
560,Dingle,10.9995,122.6711,89.42,75,6.98,54,PH,1619326444
561,São Desidério,-12.3633,-44.9733,69.8,67,2.46,94,BR,1619326632
562,Kichera,55.9375,110.0997,41.74,100,3.02,84,RU,1619326633
563,Ambilobe,-13.2,49.05,78.12,82,3.22,78,MG,1619326633
564,Juegang,32.3174,121.1855,64.17,100,10.69,80,CN,1619326633
565,Rapid Valley,44.0625,-103.1463,46.4,75,13.8,65,US,1619326634
566,Guerrero Negro,27.9769,-114.0611,58.44,4,14.43,86,MX,1619326634
567,Xingcheng,40.6167,120.7167,60.22,100,11.39,28,CN,1619326635
568,Ocós,14.5094,-92.1933,77.0,40,1.63,100,GT,1619326635
569,Gaza,31.5,34.4667,66.0,2,6.11,100,PS,1619326636
570,Doka,13.5167,35.7667,87.75,60,10.87,38,SD,1619326636
571,Altay,47.8667,88.1167,35.58,28,2.89,41,CN,1619326636
572,Poum,-20.2333,164.0167,77.92,98,7.54,78,NC,1619326637
573,Pasni,25.2631,63.471,82.13,0,3.58,67,PK,1619326637
574,San Cristobal,7.7669,-72.225,78.8,40,4.61,94,VE,1619326638
575,Dhidhdhoo,6.8833,73.1,84.33,62,4.07,68,MV,1619326638
576,Verkh-Usugli,52.7,115.1667,57.99,100,12.64,15,RU,1619326638
577,Birao,10.2849,22.7882,78.42,78,3.91,57,CF,1619326639
578,San Miguel de Cozumel,20.5083,-86.9458,78.8,40,8.05,83,MX,1619326639
579,Sawtell,-30.3833,153.1,71.6,3,10.36,64,AU,1619326640
580,Portlethen,57.0547,-2.1307,32.0,100,1.14,100,GB,1619326640
581,Balkhash,46.844,74.9804,48.2,0,29.08,34,KZ,1619326641
582,Boyolangu,-8.1181,111.8935,85.26,12,6.67,64,ID,1619326641
583,Manjakandriana,-18.9167,47.8,64.4,75,5.75,82,MG,1619326642
